TimeStamp,Delay,Size
5297,0.2917947769165039,65528
5642,0.1374199390411377,65528
6140,0.13536739349365234,65528
6735,0.22943663597106934,65528
7086,0.08091855049133301,65528
7607,0.10276031494140625,65528
8434,0.428638219833374,65528
8603,0.09787750244140625,65528
9142,0.13666653633117676,65528
9673,0.16831159591674805,65528
10128,0.12317848205566406,65528
10631,0.12572598457336426,65528
11120,0.1172492504119873,65528
11809,0.30310487747192383,65528
12092,0.08850884437561035,65528
12622,0.11734771728515625,65528
13110,0.10533308982849121,65528
13683,0.17650866508483887,65528
14131,0.12480521202087402,65528
14607,0.1021738052368164,65528
15087,0.08194279670715332,65528
15685,0.1789710521697998,65528
17683,1.6776607036590576,65528
18807,2.3022706508636475,65528
19454,2.448681354522705,65528
19454,1.949183464050293,65528
20142,2.137690305709839,65528
20142,1.6362361907958984,65528
20662,1.6592087745666504,65528
20663,1.15659761428833,65528
21007,1.0022776126861572,65528
21200,0.6940121650695801,65528
21393,0.38780784606933594,65528
21640,0.13470888137817383,65528
22191,0.1855309009552002,65528
22598,0.09364461898803711,65528
23092,0.08704805374145508,65528
23577,0.07149839401245117,65528
24089,0.08298134803771973,65528
24588,0.08337640762329102,65528
25215,0.2116835117340088,65528
25625,0.12000226974487305,65528
26104,0.09795808792114258,65528
26695,0.1902310848236084,65528
29561,2.555824041366577,65528
31542,4.036208868026733,65528
33203,5.198268890380859,65528
34134,5.628247261047363,65528
37443,5.937132835388184,65528
39279,5.774341821670532,65528
39567,5.060935735702515,65528
39749,4.7442522048950195,65528
39750,4.244165420532227,65528
40000,3.994877576828003,65528
40965,4.4612956047058105,65528
43236,6.230459213256836,65528
44337,5.830546140670776,65528
44740,5.234616994857788,65528
44740,4.735063552856445,65528
45212,4.706334352493286,65528
45213,4.207761287689209,65528
45972,4.467060804367065,65528
46490,4.48494815826416,65528
46490,3.9844369888305664,65528
46491,3.4856648445129395,65528
46491,2.9848945140838623,65528
46491,2.486130714416504,65528
47119,2.6133673191070557,65528
48085,3.079901933670044,65528
51917,6.414376497268677,65528
54267,7.762049436569214,65528
54268,7.2624921798706055,65528
55233,6.228091716766357,65528
55868,4.8633551597595215,65528
55912,4.405588865280151,65528
55912,3.9090142250061035,65528
55912,3.407227039337158,65528
56004,2.997574806213379,65528
56038,2.5328869819641113,65528
56038,2.033292531967163,65528
56039,1.5324971675872803,65528
56039,1.0326828956604004,65528
56039,0.5328829288482666,65528
56281,0.27555274963378906,65528
56639,0.13420748710632324,65528
57338,0.3331897258758545,65528
57687,0.18065905570983887,65528
58235,0.22965073585510254,65528
58760,0.2537541389465332,65528
59244,0.23869800567626953,65528
60802,1.2959187030792236,65528
60802,0.7973160743713379,65528
62480,1.9747004508972168,65528
66344,5.338881731033325,65528
67226,5.720274209976196,65528
67518,5.013921022415161,65528
67908,4.903360605239868,65528
68071,4.567544937133789,65528
74107,8.100582361221313,65528
74107,7.6020588874816895,65528
74107,7.1023268699646,65528
74108,6.6025776863098145,65528
75336,5.83037257194519,65528
75708,4.7030510902404785,65528
75727,4.222092390060425,65528
75728,3.721506357192993,65528
75728,3.221754550933838,65528
75728,2.722956657409668,65528
75728,2.2231826782226562,65528
75760,1.7545480728149414,65528
75834,1.3284108638763428,65528
75835,0.8298590183258057,65528
75835,0.33016419410705566,65528
76143,0.13759469985961914,65528
76605,0.0986778736114502,65528
77195,0.18973183631896973,65528
77611,0.10834503173828125,65528
78148,0.1415998935699463,65528
78631,0.12460899353027344,65528
79179,0.17249703407287598,65528
79661,0.1550447940826416,65528
80110,0.10545969009399414,65528
80603,0.09650588035583496,65528
81095,0.09082245826721191,65528
81579,0.0726931095123291,65528
82098,0.09279298782348633,65528
82576,0.07092547416687012,65528
83140,0.13454222679138184,65528
83597,0.09069418907165527,65528
84141,0.13579082489013672,65528
84712,0.20599126815795898,65528
85139,0.1335303783416748,65528
85670,0.16393113136291504,65528
86110,0.10441255569458008,65528
86609,0.10338425636291504,65528
87100,0.09489035606384277,65528
87602,0.09567713737487793,65528
88139,0.13404178619384766,65528
88599,0.09328985214233398,65528
89103,0.09700202941894531,65528
89590,0.08510112762451172,65528
90087,0.08159136772155762,65528
90596,0.09071564674377441,65528
91201,0.1955394744873047,65528
91612,0.10597753524780273,65528
92160,0.15516042709350586,65528
92579,0.07323861122131348,65528
93106,0.10084199905395508,65528
93586,0.08243179321289062,65528
94103,0.09661602973937988,65528
94587,0.08101725578308105,65528
95125,0.12029027938842773,65528
95567,0.06056976318359375,65528
96096,0.09008622169494629,65528
96573,0.06746578216552734,65528
97127,0.12434077262878418,65528
97583,0.07876348495483398,65528
98191,0.18568682670593262,65528
98595,0.08874225616455078,65528
99108,0.10182571411132812,65528
99570,0.06454014778137207,65528
100130,0.12517142295837402,65528
100581,0.07448029518127441,65528
101098,0.09303402900695801,65528
101592,0.08669352531433105,65528
102163,0.15731024742126465,65528
102601,0.0948948860168457,65528
103115,0.10956430435180664,65528
103594,0.08794522285461426,65528
104082,0.07737421989440918,65528
104592,0.08587431907653809,65528
105205,0.19968128204345703,65528
105673,0.1689286231994629,65528
106221,0.21532750129699707,65528
106588,0.0818476676940918,65528
107129,0.12399458885192871,65528
107656,0.14975285530090332,65528
108179,0.17363572120666504,65528
108724,0.21790504455566406,65528
109107,0.10152053833007812,65528
109582,0.07839846611022949,65528
110100,0.09530401229858398,65528
110657,0.1504828929901123,65528
111104,0.09857892990112305,65528
111744,0.23782110214233398,65528
112118,0.11338663101196289,65528
112604,0.09815645217895508,65528
113104,0.09917283058166504,65528
113591,0.08573102951049805,65528
114105,0.10025596618652344,65528
114604,0.09793496131896973,65528
115091,0.0863502025604248,65528
115593,0.0866239070892334,65528
116095,0.0900411605834961,65528
116595,0.09035062789916992,65528
117085,0.07955455780029297,65528
117588,0.08359265327453613,65528
118221,0.2157421112060547,65528
118592,0.08665823936462402,65528
119083,0.07741713523864746,65528
119612,0.10550832748413086,65528
