Timestamp,Delay,Size
3638,0.0302667617797851,1016
4152,0.1423094272613525,1016
4522,0.0091974735260009,1016
5020,0.0114607810974121,1016
5517,0.0055408477783203,1016
6016,0.006479263305664,1016
6694,0.1808266639709472,1016
7014,0.0050671100616455,1016
7563,0.0522558689117431,1016
8059,0.0503826141357421,1016
8549,0.0362513065338134,1016
9014,0.0050387382507324,1016
9670,0.1588501930236816,1016
10027,0.0167567729949951,1016
10546,0.0324928760528564,1016
11023,0.0144445896148681,1016
11539,0.0259606838226318,1016
12108,0.0976250171661377,1016
12518,0.0071520805358886,1016
13020,0.0111894607543945,1016
13529,0.0183181762695312,1016
14018,0.0091719627380371,1016
14729,0.216360330581665,1016
15017,0.0076673030853271,1016
15525,0.0112102031707763,1016
16033,0.0240740776062011,1016
16552,0.0391299724578857,1016
17124,0.1145350933074951,1016
17527,0.0154697895050048,1016
18026,0.0170705318450927,1016
18529,0.0179123878479003,1016
19063,0.053506851196289,1016
19528,0.0147209167480468,1016
20024,0.0139274597167968,1016
20520,0.0084466934204101,1016
21047,0.0377497673034668,1016
21539,0.0247290134429931,1016
22029,0.0190896987915039,1016
22521,0.0088682174682617,1016
23069,0.059537649154663,1016
23596,0.0831739902496337,1016
24888,0.8793375492095947,1016
25825,1.3122856616973877,1016
25826,0.8172402381896973,1016
25836,0.3230719566345215,1016
26041,0.0316369533538818,1016
26536,0.0233154296875,1016
27018,0.008624792098999,1016
27520,0.0059902667999267,1016
28018,0.0091419219970703,1016
28586,0.0732796192169189,1016
29078,0.0692133903503418,1016
29559,0.0460748672485351,1016
30390,0.3797528743743896,1016
30521,0.0076375007629394,1016
31019,0.0096626281738281,1016
31534,0.0231037139892578,1016
32047,0.0378460884094238,1016
32528,0.0153377056121826,1016
33016,0.0068857669830322,1016
33598,0.0844659805297851,1016
34305,0.294844388961792,1016
34887,0.3727729320526123,1016
35080,0.0706589221954345,1016
35552,0.0403957366943359,1016
36110,0.1006908416748046,1016
36519,0.0064022541046142,1016
37023,0.0131692886352539,1016
37518,0.0072872638702392,1016
38025,0.0157327651977539,1016
38748,0.23598313331604,1016
39657,0.648289680480957,1016
