Timestamp,Bytes_Send,Bytes_Received,Packets_Send,Packets_Received,Errors_Send,Errors_Received,Drop_Incoming,Drop_total,CPU_percent,CPU_time,RAM_percent,RAM_info,LAT,LONG,ALT
1118,0,0,0,0,0,0,0,0,0,0,0,0,49.62732616666667,6.159198333333334,350.8
2119,196,256,2,3,0,0,0,0,74.8,0.7300000000000001,0.35780538028828546,29294592,49.62732716666666,6.1591935,350.6
3120,196,256,2,3,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62732916666667,6.159188499999999,350.6
4124,15486,11278,45,28,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733,6.159184333333333,350.6
5125,25762,1060,21,7,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627331500000004,6.159180166666666,350.5
6116,17204,894,14,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733316666666,6.159176500000001,350.6
7129,17204,954,14,6,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627332499999994,6.159174500000001,350.2
8134,17310,990,15,6,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733316666666,6.159171166666666,349.9
9129,17396,672,16,7,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733333333334,6.159166166666667,349.8
10125,17106,370,13,4,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733183333333,6.159161333333333,349.7
11125,17204,468,14,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627331166666664,6.159156333333334,349.7
12125,17840,574,16,6,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627331999999996,6.1591516666666655,349.8
13126,17204,362,14,4,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733333333334,6.159148833333334,350.0
14131,26736,826,26,8,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733466666667,6.159144666666666,349.9
15130,17204,468,14,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627335666666674,6.1591406666666675,350.0
16126,26748,1242,26,8,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733816666667,6.159137333333333,349.9
17121,17392,468,16,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627338333333334,6.159132166666666,349.8
18128,17392,680,16,7,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627339,6.159127666666666,349.9
19126,17204,468,14,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733849999999,6.1591225000000005,349.8
20126,21376,582,24,6,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733883333333,6.1591198333333335,350.1
21130,33108,540,34,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627338666666674,6.1591138333333335,349.8
22130,31396,540,32,5,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733849999999,6.159109833333334,350.0
23130,23820,398,26,4,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733849999999,6.159104999999999,349.9
24124,17858,158,21,2,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627340999999994,6.159100833333334,350.0
25126,18530,1244,27,8,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627341166666675,6.159095666666667,349.9
26128,17972,188,22,2,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62734066666667,6.159090333333334,349.8
27127,17760,0,20,0,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627340000000004,6.159085666666666,349.7
28123,19446,732,33,9,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733883333333,6.159080666666667,349.5
29127,18282,240,25,2,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733883333333,6.1590755,349.2
30125,17990,0,23,0,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733816666667,6.1590721666666655,349.3
31124,21396,2502,40,25,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.627338333333334,6.159069166666666,349.4
32125,49660,1154,46,10,0,0,0,0,0.0,0.7300000000000001,0.35780538028828546,29294592,49.62733933333334,6.159064666666666,349.4
