Timestamp,Bytes_Send,Bytes_Received,Packets_Send,Packets_Received,Errors_Send,Errors_Received,Drop_Incoming,Drop_total,CPU_percent,CPU_time,RAM_percent,RAM_info,LAT,LONG,ALT
1221,0,0,0,0,0,0,0,0,0.0,1.03,0.4897311056546457,40361984,49.62728033333333,6.1592009999999995,347.2
2229,1094,3446,15,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62728083333333,6.159202833333334,347.3
3230,4010,3986,18,17,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62728216666666,6.159200333333333,347.4
4228,372,432,4,5,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627284499999995,6.1591995,347.6
5231,11728,5998,27,22,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627286999999995,6.1591966666666655,347.6
6225,11946,5552,17,18,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627289000000005,6.159192833333333,347.6
7231,9541,5283,13,14,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627291,6.159188833333333,347.4
8226,10095,5319,18,15,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62729316666667,6.159184499999999,347.3
9229,9564,5132,12,11,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62729483333332,6.159179166666666,347.0
10226,9596,5222,13,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62729666666667,6.159175833333334,347.0
11226,9638,5180,15,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627297666666664,6.159172000000001,347.0
12227,9611,5153,14,12,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62729833333333,6.1591673333333326,346.9
13230,9773,5387,17,16,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62729983333334,6.159163666666666,346.9
14227,9568,5266,12,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730066666666,6.159158666666667,346.8
15229,9662,5354,14,15,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627301833333334,6.159152833333334,346.6
16226,9638,5180,15,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730483333333,6.159147666666667,346.7
17226,10344,5297,14,14,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730566666667,6.159141833333333,346.5
18228,9773,5255,17,14,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730533333333,6.159135666666667,346.2
19235,9568,5134,12,11,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730633333334,6.159129666666667,346.0
20225,9596,5222,13,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730783333333,6.159125166666667,346.0
21227,10437,5324,16,15,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.6273085,6.159120166666666,345.8
22226,9545,5285,13,14,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62730966666666,6.159115833333334,345.8
23223,9773,5387,17,16,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62731116666667,6.159111833333332,345.8
24225,9568,5266,12,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627311999999996,6.159107666666667,345.8
25228,9596,5354,13,15,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627311999999996,6.159101500000001,345.7
26225,9638,5180,15,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627311999999996,6.159097833333334,345.8
27228,10344,5087,14,11,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62731216666666,6.159093666666666,345.6
28227,11245,5468,17,17,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.627311999999996,6.159088833333334,345.4
29230,9568,5266,12,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.6273125,6.159083999999999,345.3
30225,9596,5354,13,15,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62731283333333,6.159079666666666,345.3
31229,9638,5180,15,13,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.62731316666667,6.159075,345.1
32228,9545,5153,13,12,0,0,0,0,0.0,1.75,0.6669828481548409,54607872,49.6273145,6.159071166666666,345.3
